"Number of households by type of outer wall","Number"
"BambooWall","1895"
"Cement Bonded Bricks/Stone Wall","692"
"Mud Bonded Bricks/Stone Wall","390"
"Not Stated about Wall","48"
"Other Type Wall","222"
"Unbaked Bricks","68"
"Wood/Planks","445"
"Total","3760"
