"Population by Caste Ethinicity","Number"
"Badi",""
"Female","30"
"Male","20"
"","50"
"Bangali",""
"Female","12"
"Male","16"
"","28"
"Brahman - Hill",""
"Female","1566"
"Male","1308"
"","2874"
"Chhetri",""
"Female","4049"
"Male","3435"
"","7484"
"Dalit Others",""
"Female","1024"
"Male","820"
"","1844"
"Damai/Dholi",""
"Female","202"
"Male","182"
"","384"
"Gurung",""
"Female","10"
"Male","9"
"","19"
"Hajam/Thakur",""
"Female","17"
"Male","23"
"","40"
"Kami",""
"Female","482"
"Male","435"
"","917"
"Lohar",""
"Female","8"
"Male","3"
"","11"
"Magar",""
"Female","500"
"Male","464"
"","964"
"Others",""
"Female","38"
"Male","30"
"","68"
"Rai",""
"Female","6"
"Male","6"
"","12"
"Sanyasi/Dasnami",""
"Female","259"
"Male","226"
"","485"
"Sarki",""
"Female","58"
"Male","55"
"","113"
"Thakuri",""
"Female","646"
"Male","532"
"","1178"
"Thami",""
"Female","50"
"Male","51"
"","101"
"Tharu",""
"Female","2752"
"Male","2625"
"","5377"
