"Population by Mother tongue","Number"
"Achhami",""
"Female","91"
"Male","62"
"","153"
"Baitadeli",""
"Female","481"
"Male","430"
"","911"
"Bajhangi",""
"Female","2408"
"Male","1948"
"","4356"
"Bajureli",""
"Female","266"
"Male","215"
"","481"
"Bangla",""
"Female","9"
"Male","13"
"","22"
"Bhojpuri",""
"Female","7"
"Male","4"
"","11"
"Darchuleli",""
"Female","55"
"Male","37"
"","92"
"Doteli",""
"Female","3251"
"Male","2776"
"","6027"
"Magar",""
"Female","456"
"Male","419"
"","875"
"Maithili",""
"Female","25"
"Male","31"
"","56"
"Nepali",""
"Female","1899"
"Male","1660"
"","3559"
"Not Reported",""
"Female","10"
"Male","6"
"","16"
"Others",""
"Female","13"
"Male","18"
"","31"
"Tharu",""
"Female","2738"
"Male","2621"
"","5359"
