"Number of households by type of outer wall","Number"
"BambooWall","912"
"Cement Bonded Bricks/Stone Wall","1691"
"Mud Bonded Bricks/Stone Wall","4089"
"Not Stated about Wall","62"
"Other Type Wall","694"
"Unbaked Bricks","3097"
"Wood/Planks","665"
"Total","11210"
