"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","53"
"Male","56"
"Brahman - Hill",""
"Female","375"
"Male","310"
"Chhetri",""
"Female","5370"
"Male","5217"
"Dalit Others",""
"Female","12"
"Male","10"
"Damai/Dholi",""
"Female","765"
"Male","647"
"Gurung",""
"Female","241"
"Male","245"
"Kami",""
"Female","2048"
"Male","1883"
"Magar",""
"Female","1154"
"Male","1062"
"Others",""
"Female","18"
"Male","9"
"Sanyasi/Dasnami",""
"Female","91"
"Male","83"
"Sarki",""
"Female","18"
"Male","14"
"Tamang",""
"Female","10"
"Male","9"
"Terai Others",""
"Female","6"
"Male","5"
"Thakuri",""
"Female","1197"
"Male","1125"
