"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","867"
"Male","805"
"Chhetri",""
"Female","7873"
"Male","7093"
"Dalit Others",""
"Female","1126"
"Male","999"
"Damai/Dholi",""
"Female","105"
"Male","98"
"Gurung",""
"Female","7"
"Male","5"
"Kami",""
"Female","445"
"Male","380"
"Others",""
"Female","20"
"Male","16"
"Rai",""
"Female","13"
"Male","11"
"Sanyasi/Dasnami",""
"Female","79"
"Male","59"
"Sarki",""
"Female","16"
"Male","16"
"Terai Others",""
"Female","6"
"Male","5"
"Thakuri",""
"Female","704"
"Male","559"
