"Population by Five Years Age Group","Number"
"0-4",""
"Female","1498"
"Male","1618"
"10-14",""
"Female","1596"
"Male","1555"
"15-19",""
"Female","1120"
"Male","1064"
"20-24",""
"Female","901"
"Male","714"
"25-29",""
"Female","746"
"Male","500"
"30-34",""
"Female","659"
"Male","454"
"35-39",""
"Female","568"
"Male","473"
"40-44",""
"Female","500"
"Male","415"
"45-49",""
"Female","396"
"Male","354"
"50-54",""
"Female","307"
"Male","327"
"55-59",""
"Female","281"
"Male","256"
"5-9",""
"Female","1719"
"Male","1713"
"60-64",""
"Female","334"
"Male","218"
"65-69",""
"Female","261"
"Male","162"
"70-74",""
"Female","207"
"Male","110"
"75+",""
"Female","168"
"Male","122"
