"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","30"
"Male","52"
"Danuwar",""
"Female","648"
"Male","620"
"Gurung",""
"Female","34"
"Male","30"
"Hayu/Vayu",""
"Female","286"
"Male","262"
"Limbu",""
"Female","7"
"Male","7"
"Magar",""
"Female","1663"
"Male","1424"
"Maithili",""
"Female","470"
"Male","611"
"Majhi",""
"Female","244"
"Male","233"
"Nepali",""
"Female","22235"
"Male","19853"
"Newar",""
"Female","941"
"Male","892"
"Not Reported",""
"Female","20"
"Male","19"
"Others",""
"Female","37"
"Male","42"
"Rai",""
"Female","24"
"Male","31"
"Sherpa",""
"Female","8"
"Male","6"
"Sign Language",""
"Female","11"
"Male","15"
"Sunuwar",""
"Female","260"
"Male","218"
"Tamang",""
"Female","6961"
"Male","6099"
"Thami",""
"Female","33"
"Male","25"
"Tharu",""
"Female","9"
"Male","15"
"Urdu",""
"Female","3"
"Male","8"
