"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","592"
"Cow Dung","19"
"Electricity","7"
"Kerosene","101"
"LP Gas","2526"
"Not stated","38"
"Others","52"
"Wood/Firewood","10980"
"Total","14315"
