"Population by Five Years Age Group","Number"
"0-4",""
"Female","1487"
"Male","1540"
"10-14",""
"Female","2040"
"Male","2130"
"15-19",""
"Female","2230"
"Male","2170"
"20-24",""
"Female","2446"
"Male","2279"
"25-29",""
"Female","1955"
"Male","1805"
"30-34",""
"Female","1457"
"Male","1274"
"35-39",""
"Female","1313"
"Male","1050"
"40-44",""
"Female","1021"
"Male","991"
"45-49",""
"Female","954"
"Male","922"
"50-54",""
"Female","771"
"Male","868"
"55-59",""
"Female","575"
"Male","645"
"5-9",""
"Female","1877"
"Male","1945"
"60-64",""
"Female","455"
"Male","495"
"65-69",""
"Female","350"
"Male","329"
"70-74",""
"Female","249"
"Male","247"
"75+",""
"Female","417"
"Male","342"
