"Population by Five Years Age Group","Number"
"0-4",""
"Female","2092"
"Male","2270"
"10-14",""
"Female","2826"
"Male","2902"
"15-19",""
"Female","2444"
"Male","1777"
"20-24",""
"Female","2070"
"Male","1167"
"25-29",""
"Female","1727"
"Male","1172"
"30-34",""
"Female","1346"
"Male","886"
"35-39",""
"Female","1283"
"Male","765"
"40-44",""
"Female","1096"
"Male","712"
"45-49",""
"Female","914"
"Male","677"
"50-54",""
"Female","840"
"Male","626"
"55-59",""
"Female","717"
"Male","579"
"5-9",""
"Female","2635"
"Male","2805"
"60-64",""
"Female","675"
"Male","515"
"65-69",""
"Female","442"
"Male","403"
"70-74",""
"Female","285"
"Male","268"
"75+",""
"Female","297"
"Male","247"
