"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","749"
"Male","658"
"","1407"
"Chhetri",""
"Female","13449"
"Male","13063"
"","26512"
"Dalit Others",""
"Female","301"
"Male","264"
"","565"
"Damai/Dholi",""
"Female","176"
"Male","143"
"","319"
"Kami",""
"Female","1794"
"Male","1603"
"","3397"
"Lohar",""
"Female","17"
"Male","24"
"","41"
"Others",""
"Female","12"
"Male","6"
"","18"
"Sanyasi/Dasnami",""
"Female","201"
"Male","163"
"","364"
"Sarki",""
"Female","17"
"Male","21"
"","38"
"Terai Others",""
"Female","12"
"Male","11"
"","23"
"Thakuri",""
"Female","273"
"Male","255"
"","528"
"Undefined Others",""
"Female","7"
"Male","5"
"","12"
