"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","638"
"Male","578"
"","1216"
"Chhetri",""
"Female","981"
"Male","809"
"","1790"
"Dalit Others",""
"Female","70"
"Male","50"
"","120"
"Damai/Dholi",""
"Female","110"
"Male","104"
"","214"
"Gurung",""
"Female","87"
"Male","80"
"","167"
"Kami",""
"Female","618"
"Male","513"
"","1131"
"Kumal",""
"Female","69"
"Male","44"
"","113"
"Magar",""
"Female","7243"
"Male","6301"
"","13544"
"Musalman",""
"Female","7"
"Male","7"
"","14"
"Newar",""
"Female","76"
"Male","75"
"","151"
"Others",""
"Female","23"
"Male","22"
"","45"
"Sanyasi/Dasnami",""
"Female","55"
"Male","45"
"","100"
"Sarki",""
"Female","236"
"Male","139"
"","375"
"Tamang",""
"Female","16"
"Male","15"
"","31"
"Thakali",""
"Female","19"
"Male","17"
"","36"
"Thakuri",""
"Female","17"
"Male","6"
"","23"
"Undefined Others",""
"Female","6"
"Male","9"
"","15"
