"Population by Five Years Age Group","Number"
"0-4",""
"Female","637"
"Male","661"
"10-14",""
"Female","976"
"Male","934"
"15-19",""
"Female","791"
"Male","705"
"20-24",""
"Female","535"
"Male","343"
"25-29",""
"Female","374"
"Male","222"
"30-34",""
"Female","310"
"Male","208"
"35-39",""
"Female","322"
"Male","235"
"40-44",""
"Female","342"
"Male","309"
"45-49",""
"Female","263"
"Male","249"
"50-54",""
"Female","247"
"Male","254"
"55-59",""
"Female","192"
"Male","197"
"5-9",""
"Female","840"
"Male","837"
"60-64",""
"Female","205"
"Male","163"
"65-69",""
"Female","135"
"Male","139"
"70-74",""
"Female","68"
"Male","107"
"75+",""
"Female","93"
"Male","99"
