"Population by Caste Ethinicity","Number"
"Badi",""
"Female","61"
"Male","54"
"","115"
"Brahman - Hill",""
"Female","2060"
"Male","1865"
"","3925"
"Chhetri",""
"Female","2155"
"Male","1772"
"","3927"
"Damai/Dholi",""
"Female","396"
"Male","351"
"","747"
"Gurung",""
"Female","164"
"Male","145"
"","309"
"Halwai",""
"Female","114"
"Male","140"
"","254"
"Kami",""
"Female","516"
"Male","420"
"","936"
"Kathabaniyan",""
"Female","12"
"Male","8"
"","20"
"Kumal",""
"Female","823"
"Male","803"
"","1626"
"Magar",""
"Female","2942"
"Male","2526"
"","5468"
"Musalman",""
"Female","317"
"Male","297"
"","614"
"Newar",""
"Female","117"
"Male","99"
"","216"
"Others",""
"Female","47"
"Male","50"
"","97"
"Rai",""
"Female","9"
"Male","10"
"","19"
"Sanyasi/Dasnami",""
"Female","502"
"Male","358"
"","860"
"Sarki",""
"Female","170"
"Male","157"
"","327"
"Tamang",""
"Female","24"
"Male","14"
"","38"
"Teli",""
"Female","6"
"Male","6"
"","12"
"Terai Others",""
"Female","29"
"Male","35"
"","64"
"Thakuri",""
"Female","355"
"Male","276"
"","631"
"Tharu",""
"Female","10482"
"Male","10077"
"","20559"
