"Population by Mother tongue","Number"
"Avadhi",""
"Female","3"
"Male","9"
"","12"
"Bhojpuri",""
"Female","16"
"Male","12"
"","28"
"Doteli",""
"Female","7"
"Male","7"
"","14"
"Gurung",""
"Female","87"
"Male","73"
"","160"
"Hindi",""
"Female","118"
"Male","133"
"","251"
"Kham",""
"Female","147"
"Male","119"
"","266"
"Magar",""
"Female","334"
"Male","249"
"","583"
"Maithili",""
"Female","24"
"Male","30"
"","54"
"Nepali",""
"Female","9980"
"Male","8651"
"","18631"
"Newar",""
"Female","27"
"Male","25"
"","52"
"Not Reported",""
"Female","9"
"Male","4"
"","13"
"Others",""
"Female","13"
"Male","8"
"","21"
"Tamang",""
"Female","7"
"Male","7"
"","14"
"Tharu",""
"Female","10384"
"Male","9984"
"","20368"
"Urdu",""
"Female","145"
"Male","152"
"","297"
