"Number of households by type of outer wall","Number"
"BambooWall","2640"
"Cement Bonded Bricks/Stone Wall","2327"
"Mud Bonded Bricks/Stone Wall","1635"
"Not Stated about Wall","104"
"Other Type Wall","416"
"Unbaked Bricks","215"
"Wood/Planks","718"
"Total","8055"
