"Number of households by type of outer wall","Number"
"BambooWall","5860"
"Cement Bonded Bricks/Stone Wall","2441"
"Mud Bonded Bricks/Stone Wall","184"
"Not Stated about Wall","59"
"Other Type Wall","113"
"Unbaked Bricks","19"
"Wood/Planks","1580"
"Total","10256"
