"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","6"
"Male","7"
"","13"
"Gurung",""
"Female","304"
"Male","248"
"","552"
"Limbu",""
"Female","3293"
"Male","2798"
"","6091"
"Magar",""
"Female","78"
"Male","71"
"","149"
"Maithili",""
"Female","42"
"Male","70"
"","112"
"Nepali",""
"Female","5284"
"Male","4663"
"","9947"
"Newar",""
"Female","445"
"Male","375"
"","820"
"Not Reported",""
"Female","24"
"Male","9"
"","33"
"Others",""
"Female","28"
"Male","26"
"","54"
"Rai",""
"Female","131"
"Male","112"
"","243"
"Sherpa",""
"Female","173"
"Male","139"
"","312"
"Tamang",""
"Female","736"
"Male","586"
"","1322"
"Yakkha",""
"Female","6"
"Male","5"
"","11"
