"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","841"
"Christianity","145"
"Hindu","15936"
"Islam","9"
"Jainism","0"
"Kirat","32"
"Prakriti","1"
"Sikhism","0"
"Undefined","2"
"Total","16966"
