"Population by Five Years Age Group","Number"
"0-4",""
"Female","121"
"Male","112"
"10-14",""
"Female","137"
"Male","102"
"15-19",""
"Female","110"
"Male","60"
"20-24",""
"Female","101"
"Male","60"
"25-29",""
"Female","90"
"Male","105"
"30-34",""
"Female","67"
"Male","55"
"35-39",""
"Female","86"
"Male","83"
"40-44",""
"Female","58"
"Male","57"
"45-49",""
"Female","40"
"Male","40"
"50-54",""
"Female","43"
"Male","39"
"55-59",""
"Female","34"
"Male","32"
"5-9",""
"Female","168"
"Male","172"
"60-64",""
"Female","48"
"Male","28"
"65-69",""
"Female","27"
"Male","17"
"70-74",""
"Female","16"
"Male","12"
"75+",""
"Female","11"
"Male","6"
