"Population by Five Years Age Group","Number"
"0-4",""
"Female","1080"
"Male","1153"
"10-14",""
"Female","1593"
"Male","1473"
"15-19",""
"Female","1342"
"Male","939"
"20-24",""
"Female","1040"
"Male","684"
"25-29",""
"Female","780"
"Male","504"
"30-34",""
"Female","661"
"Male","421"
"35-39",""
"Female","525"
"Male","382"
"40-44",""
"Female","532"
"Male","360"
"45-49",""
"Female","379"
"Male","309"
"50-54",""
"Female","293"
"Male","310"
"55-59",""
"Female","213"
"Male","256"
"5-9",""
"Female","1486"
"Male","1401"
"60-64",""
"Female","249"
"Male","240"
"65-69",""
"Female","185"
"Male","171"
"70-74",""
"Female","113"
"Male","117"
"75+",""
"Female","94"
"Male","119"
