"Population by Religion","Number"
"Bahai","1"
"Bon","0"
"Buddism","23"
"Christianity","19"
"Hindu","27996"
"Islam","5"
"Jainism","0"
"Kirat","0"
"Prakriti","0"
"Sikhism","0"
"Undefined","0"
"Total","28044"
