"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","6"
"Cow Dung","13"
"Electricity Fuel","0"
"KeroseneFuel","27"
"LP Gas","64"
"Not Sated about Fuel","5"
"OthersFuel","0"
"Wood/FireWood","6709"
"Total","6824"
