"Population by Caste Ethinicity","Number"
"Bangali",""
"Female","27"
"Male","32"
"","59"
"Baraee",""
"Female","352"
"Male","375"
"","727"
"Bin",""
"Female","344"
"Male","354"
"","698"
"Brahman - Hill",""
"Female","27"
"Male","30"
"","57"
"Brahman - Tarai",""
"Female","331"
"Male","370"
"","701"
"Chamar/ Harijan/ Ram",""
"Female","519"
"Male","493"
"","1012"
"Dhanuk",""
"Female","1286"
"Male","1372"
"","2658"
"Dhobi",""
"Female","28"
"Male","28"
"","56"
"Dhunia",""
"Female","20"
"Male","26"
"","46"
"Dusadh/ Pasawan/ Pasi",""
"Female","365"
"Male","423"
"","788"
"Gaderi/Bhedihar",""
"Female","45"
"Male","69"
"","114"
"Hajam/Thakur",""
"Female","183"
"Male","179"
"","362"
"Halkhor",""
"Female","7"
"Male","6"
"","13"
"Halwai",""
"Female","55"
"Male","54"
"","109"
"Kalwar",""
"Female","21"
"Male","15"
"","36"
"Kathabaniyan",""
"Female","32"
"Male","25"
"","57"
"Kewat",""
"Female","1313"
"Male","1382"
"","2695"
"Khatwe",""
"Female","245"
"Male","302"
"","547"
"Koiri/Kushwaha",""
"Female","23"
"Male","22"
"","45"
"Kumal",""
"Female","151"
"Male","156"
"","307"
"Kumhar",""
"Female","254"
"Male","267"
"","521"
"Kurmi",""
"Female","267"
"Male","257"
"","524"
"Mali",""
"Female","14"
"Male","10"
"","24"
"Mallaha",""
"Female","20"
"Male","30"
"","50"
"Musahar",""
"Female","175"
"Male","189"
"","364"
"Musalman",""
"Female","1879"
"Male","1736"
"","3615"
"Natuwa",""
"Female","7"
"Male","6"
"","13"
"Nuniya",""
"Female","216"
"Male","225"
"","441"
"Others",""
"Female","23"
"Male","23"
"","46"
"Rai",""
"Female","21"
"Male","25"
"","46"
"Rajput",""
"Female","53"
"Male","42"
"","95"
"Sanyasi/Dasnami",""
"Female","6"
"Male","7"
"","13"
"Sarki",""
"Female","5"
"Male","10"
"","15"
"Sonar",""
"Female","132"
"Male","148"
"","280"
"Sudhi",""
"Female","376"
"Male","399"
"","775"
"Tatma/Tatwa",""
"Female","271"
"Male","291"
"","562"
"Teli",""
"Female","590"
"Male","662"
"","1252"
"Terai Others",""
"Female","41"
"Male","43"
"","84"
"Tharu",""
"Female","305"
"Male","303"
"","608"
"Undefined Others",""
"Female","5"
"Male","9"
"","14"
"Yadav",""
"Female","467"
"Male","499"
"","966"
