"Population by Five Years Age Group","Number"
"0-4",""
"Female","1656"
"Male","1723"
"10-14",""
"Female","2457"
"Male","2473"
"15-19",""
"Female","2162"
"Male","1854"
"20-24",""
"Female","1747"
"Male","1233"
"25-29",""
"Female","1509"
"Male","1119"
"30-34",""
"Female","1181"
"Male","867"
"35-39",""
"Female","1136"
"Male","908"
"40-44",""
"Female","887"
"Male","807"
"45-49",""
"Female","745"
"Male","688"
"50-54",""
"Female","607"
"Male","627"
"55-59",""
"Female","548"
"Male","525"
"5-9",""
"Female","2276"
"Male","2262"
"60-64",""
"Female","482"
"Male","422"
"65-69",""
"Female","332"
"Male","305"
"70-74",""
"Female","193"
"Male","196"
"75+",""
"Female","162"
"Male","153"
