"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","80"
"Male","67"
"Brahman - Hill",""
"Female","479"
"Male","524"
"Chhetri",""
"Female","11356"
"Male","9771"
"Damai/Dholi",""
"Female","321"
"Male","254"
"Gaine",""
"Female","45"
"Male","40"
"Gharti/Bhujel",""
"Female","17"
"Male","22"
"Kami",""
"Female","1374"
"Male","1212"
"Magar",""
"Female","1068"
"Male","907"
"Musalman",""
"Female","23"
"Male","26"
"Newar",""
"Female","584"
"Male","463"
"Others",""
"Female","34"
"Male","32"
"Rai",""
"Female","60"
"Male","50"
"Sanyasi/Dasnami",""
"Female","1471"
"Male","1290"
"Sarki",""
"Female","581"
"Male","486"
"Terai Others",""
"Female","37"
"Male","27"
"Thakuri",""
"Female","506"
"Male","464"
"Tharu",""
"Female","22"
"Male","14"
"Undefined Others",""
"Female","11"
"Male","12"
