"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","32"
"Cow Dung","19"
"Electricity","14"
"Kerosene","63"
"LP Gas","1082"
"Not stated","70"
"Others","11"
"Wood/Firewood","20793"
"Total","22084"
