"Number of households by type of outer wall","Number"
"BambooWall","1169"
"Cement Bonded Bricks/Stone Wall","454"
"Mud Bonded Bricks/Stone Wall","19959"
"Not stated","100"
"Others","81"
"Unbaked Bricks","2"
"Wood/Planks","319"
"Total","22084"
