"Population by Mother tongue","Number"
"Bahing",""
"Female","20"
"Male","20"
"Bantawa",""
"Female","10"
"Male","17"
"Bhojpuri",""
"Female","6"
"Male","7"
"Bhujel",""
"Female","27"
"Male","30"
"Doteli",""
"Female","13"
"Male","4"
"Gurung",""
"Female","1021"
"Male","865"
"Hindi",""
"Female","11"
"Male","14"
"Kulung",""
"Female","325"
"Male","284"
"Limbu",""
"Female","18848"
"Male","16033"
"Magar",""
"Female","1154"
"Male","1031"
"Maithili",""
"Female","71"
"Male","136"
"Majhi",""
"Female","69"
"Male","62"
"Nepali",""
"Female","27080"
"Male","23022"
"Newar",""
"Female","754"
"Male","666"
"Not Reported",""
"Female","92"
"Male","77"
"Others",""
"Female","125"
"Male","118"
"Rai",""
"Female","727"
"Male","665"
"Sanskrit",""
"Female","43"
"Male","38"
"Sherpa",""
"Female","526"
"Male","476"
"Sunuwar",""
"Female","21"
"Male","16"
"Tamang",""
"Female","3302"
"Male","2768"
"Wambule",""
"Female","41"
"Male","37"
"Yakkha",""
"Female","95"
"Male","66"
