"Agricultural land use area","Hectare"
"Area under arable land","15480.43"
"Area under meadows and pasture","194.86"
"Area under permanent crops","1654.75"
"Area under Temporary crops","15229.66"
"Area under temporary fallow","171.82"
"Area under temporary meadows","78.95"
"Other land","693.25"
"Ponds","0.65"
"Woodland and forest","1078.30"
