"Population by Single Year of Age","Number"
"0",""
"Female","266"
"Male","234"
"1",""
"Female","191"
"Male","218"
"10",""
"Female","333"
"Male","361"
"11",""
"Female","327"
"Male","358"
"12",""
"Female","395"
"Male","396"
"13",""
"Female","338"
"Male","341"
"14",""
"Female","346"
"Male","308"
"15",""
"Female","305"
"Male","314"
"16",""
"Female","396"
"Male","303"
"17",""
"Female","314"
"Male","250"
"18",""
"Female","386"
"Male","293"
"19",""
"Female","207"
"Male","161"
"2",""
"Female","253"
"Male","251"
"20",""
"Female","266"
"Male","207"
"21",""
"Female","262"
"Male","154"
"22",""
"Female","297"
"Male","160"
"23",""
"Female","230"
"Male","134"
"24",""
"Female","272"
"Male","139"
"25",""
"Female","308"
"Male","181"
"26",""
"Female","227"
"Male","111"
"27",""
"Female","232"
"Male","121"
"28",""
"Female","280"
"Male","153"
"29",""
"Female","142"
"Male","78"
"3",""
"Female","257"
"Male","237"
"30",""
"Female","305"
"Male","201"
"31",""
"Female","132"
"Male","92"
"32",""
"Female","214"
"Male","139"
"33",""
"Female","126"
"Male","99"
"34",""
"Female","140"
"Male","103"
"35",""
"Female","270"
"Male","197"
"36",""
"Female","148"
"Male","118"
"37",""
"Female","119"
"Male","91"
"38",""
"Female","179"
"Male","117"
"39",""
"Female","102"
"Male","94"
"4",""
"Female","304"
"Male","347"
"40",""
"Female","298"
"Male","231"
"41",""
"Female","72"
"Male","68"
"42",""
"Female","144"
"Male","116"
"43",""
"Female","103"
"Male","83"
"44",""
"Female","72"
"Male","72"
"45",""
"Female","208"
"Male","181"
"46",""
"Female","97"
"Male","94"
"47",""
"Female","87"
"Male","67"
"48",""
"Female","121"
"Male","101"
"49",""
"Female","61"
"Male","50"
"5",""
"Female","323"
"Male","302"
"50",""
"Female","206"
"Male","171"
"51",""
"Female","74"
"Male","55"
"52",""
"Female","103"
"Male","118"
"53",""
"Female","57"
"Male","78"
"54",""
"Female","38"
"Male","60"
"55",""
"Female","136"
"Male","127"
"56",""
"Female","79"
"Male","74"
"57",""
"Female","54"
"Male","66"
"58",""
"Female","81"
"Male","87"
"59",""
"Female","45"
"Male","51"
"6",""
"Female","316"
"Male","312"
"60",""
"Female","195"
"Male","154"
"61",""
"Female","50"
"Male","58"
"62",""
"Female","76"
"Male","75"
"63",""
"Female","47"
"Male","30"
"64",""
"Female","42"
"Male","31"
"65",""
"Female","125"
"Male","99"
"66",""
"Female","54"
"Male","48"
"67",""
"Female","26"
"Male","54"
"68",""
"Female","46"
"Male","64"
"69",""
"Female","18"
"Male","35"
"7",""
"Female","333"
"Male","341"
"70",""
"Female","77"
"Male","69"
"71",""
"Female","14"
"Male","19"
"72",""
"Female","32"
"Male","46"
"73",""
"Female","20"
"Male","27"
"74",""
"Female","15"
"Male","12"
"75",""
"Female","34"
"Male","40"
"76",""
"Female","6"
"Male","17"
"77",""
"Female","13"
"Male","13"
"78",""
"Female","19"
"Male","24"
"79",""
"Female","13"
"Male","13"
"8",""
"Female","351"
"Male","321"
"80",""
"Female","21"
"Male","20"
"81",""
"Female","3"
"Male","8"
"82",""
"Female","3"
"Male","10"
"83",""
"Female","4"
"Male","4"
"84",""
"Female","8"
"Male","8"
"85",""
"Female","22"
"Male","19"
"9",""
"Female","297"
"Male","311"
