"Population by Five Years Age Group","Number"
"0-4",""
"Female","1271"
"Male","1287"
"10-14",""
"Female","1739"
"Male","1764"
"15-19",""
"Female","1608"
"Male","1321"
"20-24",""
"Female","1327"
"Male","794"
"25-29",""
"Female","1189"
"Male","644"
"30-34",""
"Female","917"
"Male","634"
"35-39",""
"Female","818"
"Male","617"
"40-44",""
"Female","689"
"Male","570"
"45-49",""
"Female","574"
"Male","493"
"50-54",""
"Female","478"
"Male","482"
"55-59",""
"Female","395"
"Male","405"
"5-9",""
"Female","1620"
"Male","1587"
"60-64",""
"Female","410"
"Male","348"
"65-69",""
"Female","269"
"Male","300"
"70-74",""
"Female","158"
"Male","173"
"75+",""
"Female","146"
"Male","176"
