"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","24"
"Male","19"
"Brahman - Hill",""
"Female","969"
"Male","854"
"Chhantyal/Chhantel",""
"Female","18"
"Male","14"
"Chhetri",""
"Female","5972"
"Male","4946"
"Dalit Others",""
"Female","89"
"Male","60"
"Damai/Dholi",""
"Female","276"
"Male","250"
"Gaine",""
"Female","13"
"Male","13"
"Kami",""
"Female","1362"
"Male","1170"
"Kumal",""
"Female","8"
"Male","8"
"Magar",""
"Female","1833"
"Male","1548"
"Musalman",""
"Female","112"
"Male","85"
"Newar",""
"Female","46"
"Male","34"
"Others",""
"Female","28"
"Male","18"
"Sanyasi/Dasnami",""
"Female","211"
"Male","157"
"Sarki",""
"Female","104"
"Male","102"
"Tamang",""
"Female","5"
"Male","6"
"Terai Others",""
"Female","24"
"Male","12"
"Thakuri",""
"Female","210"
"Male","161"
"Tharu",""
"Female","2304"
"Male","2138"
