"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","18359"
"Christianity","22"
"Hindu","3696"
"Islam","0"
"Jainism","0"
"Kirat","4"
"Prakriti","3"
"Sikhism","0"
"Undefined","22"
"Total","22106"
