"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","196"
"Male","163"
"","359"
"Chhetri",""
"Female","1151"
"Male","1081"
"","2232"
"Damai/Dholi",""
"Female","136"
"Male","133"
"","269"
"Gharti/Bhujel",""
"Female","12"
"Male","15"
"","27"
"Gurung",""
"Female","42"
"Male","39"
"","81"
"Hyolmo",""
"Female","178"
"Male","180"
"","358"
"Kami",""
"Female","281"
"Male","235"
"","516"
"Newar",""
"Female","86"
"Male","75"
"","161"
"Others",""
"Female","17"
"Male","25"
"","42"
"Sanyasi/Dasnami",""
"Female","11"
"Male","6"
"","17"
"Sarki",""
"Female","17"
"Male","19"
"","36"
"Sherpa",""
"Female","153"
"Male","166"
"","319"
"Tamang",""
"Female","8667"
"Male","8998"
"","17665"
"Thakuri",""
"Female","14"
"Male","10"
"","24"
