"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","1856"
"Male","1558"
"","3414"
"Chhetri",""
"Female","2412"
"Male","2172"
"","4584"
"Damai/Dholi",""
"Female","300"
"Male","287"
"","587"
"Gharti/Bhujel",""
"Female","239"
"Male","211"
"","450"
"Gurung",""
"Female","58"
"Male","56"
"","114"
"Hajam/Thakur",""
"Female","5"
"Male","7"
"","12"
"Kami",""
"Female","294"
"Male","279"
"","573"
"Limbu",""
"Female","6"
"Male","6"
"","12"
"Magar",""
"Female","55"
"Male","46"
"","101"
"Majhi",""
"Female","49"
"Male","53"
"","102"
"Newar",""
"Female","1286"
"Male","1173"
"","2459"
"Others",""
"Female","34"
"Male","34"
"","68"
"Rai",""
"Female","6"
"Male","5"
"","11"
"Sanyasi/Dasnami",""
"Female","52"
"Male","36"
"","88"
"Sarki",""
"Female","106"
"Male","106"
"","212"
"Sherpa",""
"Female","9"
"Male","8"
"","17"
"Tamang",""
"Female","3110"
"Male","2927"
"","6037"
"Thakuri",""
"Female","16"
"Male","17"
"","33"
"Thami",""
"Female","5"
"Male","12"
"","17"
"Tharu",""
"Female","9"
"Male","9"
"","18"
