"Population by Caste Ethinicity","Number"
"Badi",""
"Female","42"
"Male","43"
"","85"
"Brahman - Hill",""
"Female","99"
"Male","106"
"","205"
"Chhetri",""
"Female","1282"
"Male","1183"
"","2465"
"Dalit Others",""
"Female","28"
"Male","24"
"","52"
"Damai/Dholi",""
"Female","21"
"Male","19"
"","40"
"Gharti/Bhujel",""
"Female","107"
"Male","102"
"","209"
"Gurung",""
"Female","99"
"Male","98"
"","197"
"Kami",""
"Female","206"
"Male","201"
"","407"
"Khaling",""
"Female","119"
"Male","100"
"","219"
"Koiri/Kushwaha",""
"Female","47"
"Male","49"
"","96"
"Kulung",""
"Female","115"
"Male","103"
"","218"
"Magar",""
"Female","22"
"Male","26"
"","48"
"Nachhiring",""
"Female","1502"
"Male","1517"
"","3019"
"Newar",""
"Female","60"
"Male","37"
"","97"
"Others",""
"Female","22"
"Male","25"
"","47"
"Rai",""
"Female","311"
"Male","333"
"","644"
"Sanyasi/Dasnami",""
"Female","15"
"Male","20"
"","35"
"Sherpa",""
"Female","267"
"Male","246"
"","513"
"Tamang",""
"Female","447"
"Male","446"
"","893"
"Thulung",""
"Female","12"
"Male","18"
"","30"
"Undefined Others",""
"Female","7"
"Male","4"
"","11"
