"Population by Religion","Number"
"Bahai","0"
"Bon","1"
"Buddism","7128"
"Christianity","4049"
"Hindu","10584"
"Islam","13"
"Jainism","0"
"Kirat","2"
"Prakriti","3"
"Sikhism","0"
"Undefined","4"
"Total","21784"
