"Number of households by type of outer wall","Number"
"BambooWall","6857"
"Cement Bonded Bricks/Stone Wall","720"
"Mud Bonded Bricks/Stone Wall","3838"
"Not Stated about Wall","114"
"Other Type Wall","54"
"Unbaked Bricks","4"
"Wood/Planks","1577"
"Total","13164"
