"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","234"
"Cow Dung","12"
"Electricity","13"
"Kerosene","6"
"LP Gas","182"
"Not stated","21"
"Others","1"
"Wood/Firewood","3160"
"Total","3629"
