"Number of households by type of outer wall","Number"
"BambooWall","934"
"Cement Bonded Bricks/Stone Wall","28410"
"Mud Bonded Bricks/Stone Wall","2873"
"Not Stated about Wall","695"
"Other Type Wall","717"
"Unbaked Bricks","77"
"Wood/Planks","391"
"Total","34097"
