"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","635"
"Cow Dung","69"
"Electricity Fuel","5"
"KeroseneFuel","469"
"LP Gas","25107"
"Not Sated about Fuel","390"
"OthersFuel","65"
"Wood/FireWood","7357"
"Total","34097"
