"Population by Mother tongue","Number"
"Gurung",""
"Female","22"
"Male","20"
"","42"
"Jirel",""
"Female","238"
"Male","226"
"","464"
"Magar",""
"Female","27"
"Male","26"
"","53"
"Maithili",""
"Female","13"
"Male","16"
"","29"
"Nepali",""
"Female","5420"
"Male","4962"
"","10382"
"Newar",""
"Female","148"
"Male","133"
"","281"
"Not Reported",""
"Female","12"
"Male","8"
"","20"
"Others",""
"Female","10"
"Male","3"
"","13"
"Sherpa",""
"Female","1703"
"Male","1573"
"","3276"
"Surel",""
"Female","55"
"Male","57"
"","112"
"Tamang",""
"Female","1226"
"Male","1121"
"","2347"
"Thami",""
"Female","19"
"Male","24"
"","43"
