"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","160"
"Male","134"
"","294"
"Chhetri",""
"Female","3219"
"Male","2827"
"","6046"
"Damai/Dholi",""
"Female","170"
"Male","156"
"","326"
"Gharti/Bhujel",""
"Female","78"
"Male","86"
"","164"
"Gurung",""
"Female","263"
"Male","261"
"","524"
"Jirel",""
"Female","325"
"Male","310"
"","635"
"Kami",""
"Female","517"
"Male","494"
"","1011"
"Magar",""
"Female","151"
"Male","171"
"","322"
"Newar",""
"Female","406"
"Male","347"
"","753"
"Others",""
"Female","35"
"Male","34"
"","69"
"Sarki",""
"Female","113"
"Male","91"
"","204"
"Sherpa",""
"Female","1787"
"Male","1661"
"","3448"
"Tamang",""
"Female","1572"
"Male","1495"
"","3067"
"Terai Others",""
"Female","12"
"Male","7"
"","19"
"Thakuri",""
"Female","23"
"Male","29"
"","52"
"Thami",""
"Female","62"
"Male","66"
"","128"
