"Number of households by type of outer wall","Number"
"BambooWall","2873"
"Cement Bonded Bricks/Stone Wall","1872"
"Mud Bonded Bricks/Stone Wall","375"
"Not stated","32"
"Others","31"
"Unbaked Bricks","8"
"Wood/Planks","35"
"Total","5226"
