"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","791"
"Cow Dung","1239"
"Electricity","12"
"Kerosene","172"
"LP Gas","5232"
"Not stated","171"
"Others","102"
"Wood/Firewood","23524"
"Total","31243"
