"Population by Five Years Age Group","Number"
"0-4",""
"Female","2025"
"Male","2201"
"10-14",""
"Female","2329"
"Male","2415"
"15-19",""
"Female","1961"
"Male","1745"
"20-24",""
"Female","1545"
"Male","1164"
"25-29",""
"Female","1262"
"Male","862"
"30-34",""
"Female","1019"
"Male","777"
"35-39",""
"Female","947"
"Male","738"
"40-44",""
"Female","740"
"Male","675"
"45-49",""
"Female","619"
"Male","545"
"50-54",""
"Female","516"
"Male","493"
"55-59",""
"Female","376"
"Male","376"
"5-9",""
"Female","2366"
"Male","2451"
"60-64",""
"Female","453"
"Male","399"
"65-69",""
"Female","330"
"Male","278"
"70-74",""
"Female","153"
"Male","161"
"75+",""
"Female","168"
"Male","147"
