"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","27"
"Male","29"
"Brahman - Hill",""
"Female","3192"
"Male","2791"
"Chhetri",""
"Female","4855"
"Male","4542"
"Damai/Dholi",""
"Female","1121"
"Male","1016"
"Gurung",""
"Female","50"
"Male","40"
"Kami",""
"Female","3335"
"Male","3105"
"Kumal",""
"Female","19"
"Male","11"
"Magar",""
"Female","2577"
"Male","2438"
"Majhi",""
"Female","10"
"Male","14"
"Newar",""
"Female","110"
"Male","100"
"Others",""
"Female","35"
"Male","15"
"Raji",""
"Female","176"
"Male","159"
"Sanyasi/Dasnami",""
"Female","445"
"Male","413"
"Sarki",""
"Female","357"
"Male","300"
"Terai Others",""
"Female","114"
"Male","102"
"Thakuri",""
"Female","386"
"Male","347"
