"Population by Mother tongue","Number"
"Danuwar",""
"Female","858"
"Male","799"
"","1657"
"Gurung",""
"Female","19"
"Male","15"
"","34"
"Magar",""
"Female","11"
"Male","9"
"","20"
"Maithili",""
"Female","24"
"Male","38"
"","62"
"Nepali",""
"Female","10783"
"Male","9277"
"","20060"
"Newar",""
"Female","820"
"Male","792"
"","1612"
"Not Reported",""
"Female","22"
"Male","19"
"","41"
"Others",""
"Female","20"
"Male","16"
"","36"
"Rai",""
"Female","141"
"Male","122"
"","263"
"Tamang",""
"Female","4641"
"Male","4233"
"","8874"
