"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","92"
"Cow Dung","3223"
"Electricity","8"
"Kerosene","227"
"LP Gas","1693"
"Not stated","279"
"Others","40"
"Wood/Firewood","13127"
"Total","18689"
