"Population by Single Year of Age","Number"
"0",""
"Female","1021"
"Male","1142"
"1",""
"Female","958"
"Male","990"
"10",""
"Female","2365"
"Male","2559"
"11",""
"Female","1013"
"Male","1123"
"12",""
"Female","1901"
"Male","2269"
"13",""
"Female","1173"
"Male","1277"
"14",""
"Female","1369"
"Male","1523"
"15",""
"Female","1278"
"Male","1596"
"16",""
"Female","1296"
"Male","1599"
"17",""
"Female","827"
"Male","1071"
"18",""
"Female","1311"
"Male","1710"
"19",""
"Female","577"
"Male","703"
"2",""
"Female","1600"
"Male","1578"
"20",""
"Female","1599"
"Male","1637"
"21",""
"Female","534"
"Male","606"
"22",""
"Female","1199"
"Male","1174"
"23",""
"Female","911"
"Male","725"
"24",""
"Female","795"
"Male","700"
"25",""
"Female","1839"
"Male","1916"
"26",""
"Female","644"
"Male","769"
"27",""
"Female","724"
"Male","671"
"28",""
"Female","1199"
"Male","1057"
"29",""
"Female","342"
"Male","379"
"3",""
"Female","1744"
"Male","1845"
"30",""
"Female","1998"
"Male","2055"
"31",""
"Female","295"
"Male","320"
"32",""
"Female","1058"
"Male","934"
"33",""
"Female","527"
"Male","389"
"34",""
"Female","469"
"Male","344"
"35",""
"Female","1793"
"Male","2192"
"36",""
"Female","403"
"Male","498"
"37",""
"Female","416"
"Male","364"
"38",""
"Female","853"
"Male","716"
"39",""
"Female","252"
"Male","212"
"4",""
"Female","1730"
"Male","1812"
"40",""
"Female","1565"
"Male","2068"
"41",""
"Female","228"
"Male","252"
"42",""
"Female","567"
"Male","548"
"43",""
"Female","330"
"Male","219"
"44",""
"Female","201"
"Male","183"
"45",""
"Female","1277"
"Male","1759"
"46",""
"Female","212"
"Male","223"
"47",""
"Female","224"
"Male","202"
"48",""
"Female","486"
"Male","401"
"49",""
"Female","158"
"Male","132"
"5",""
"Female","1973"
"Male","2207"
"50",""
"Female","1089"
"Male","1337"
"51",""
"Female","140"
"Male","193"
"52",""
"Female","274"
"Male","301"
"53",""
"Female","187"
"Male","128"
"54",""
"Female","139"
"Male","133"
"55",""
"Female","964"
"Male","1047"
"56",""
"Female","147"
"Male","181"
"57",""
"Female","153"
"Male","130"
"58",""
"Female","283"
"Male","218"
"59",""
"Female","98"
"Male","97"
"6",""
"Female","1970"
"Male","2030"
"60",""
"Female","1007"
"Male","1200"
"61",""
"Female","96"
"Male","126"
"62",""
"Female","239"
"Male","218"
"63",""
"Female","142"
"Male","92"
"64",""
"Female","65"
"Male","64"
"65",""
"Female","759"
"Male","837"
"66",""
"Female","78"
"Male","77"
"67",""
"Female","73"
"Male","62"
"68",""
"Female","118"
"Male","190"
"69",""
"Female","38"
"Male","39"
"7",""
"Female","1668"
"Male","1727"
"70",""
"Female","520"
"Male","589"
"71",""
"Female","37"
"Male","53"
"72",""
"Female","75"
"Male","99"
"73",""
"Female","29"
"Male","36"
"74",""
"Female","12"
"Male","17"
"75",""
"Female","178"
"Male","239"
"76",""
"Female","12"
"Male","21"
"77",""
"Female","11"
"Male","13"
"78",""
"Female","22"
"Male","27"
"79",""
"Female","3"
"Male","10"
"8",""
"Female","2175"
"Male","2425"
"80",""
"Female","103"
"Male","114"
"81",""
"Female","5"
"Male","4"
"82",""
"Female","13"
"Male","11"
"83",""
"Female","3"
"Male","6"
"84",""
"Female","6"
"Male","7"
"85",""
"Female","98"
"Male","90"
"9",""
"Female","1121"
"Male","1142"
