"Population by Mother tongue","Number"
"Bangla",""
"Female","7"
"Male","10"
"Bhojpuri",""
"Female","53014"
"Male","57068"
"Chhantyal",""
"Female","12"
"Male","3"
"Doteli",""
"Female","19"
"Male","15"
"Hindi",""
"Female","38"
"Male","36"
"Limbu",""
"Female","82"
"Male","69"
"Maithili",""
"Female","1732"
"Male","1840"
"Nepali",""
"Female","1782"
"Male","1838"
"Newar",""
"Female","108"
"Male","102"
"Not Reported",""
"Female","195"
"Male","198"
"Others",""
"Female","16"
"Male","12"
"Rai",""
"Female","6"
"Male","6"
"Rajsthani",""
"Female","46"
"Male","58"
"Tamang",""
"Female","22"
"Male","23"
"Tharu",""
"Female","943"
"Male","985"
"Urdu",""
"Female","1333"
"Male","1372"
"Yakkha",""
"Female","21"
"Male","13"
