"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","648"
"Christianity","31"
"Hindu","23947"
"Islam","75"
"Jainism","0"
"Kirat","0"
"Prakriti","0"
"Sikhism","0"
"Undefined","28"
"Total","24729"
