"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","18"
"Male","21"
"Brahman - Hill",""
"Female","20"
"Male","14"
"Chamar/ Harijan/ Ram",""
"Female","18"
"Male","9"
"Chhetri",""
"Female","891"
"Male","746"
"Dalit Others",""
"Female","18"
"Male","14"
"Damai/Dholi",""
"Female","331"
"Male","248"
"Ghale",""
"Female","7"
"Male","5"
"Gurung",""
"Female","215"
"Male","172"
"Kami",""
"Female","1715"
"Male","1380"
"Magar",""
"Female","6654"
"Male","5639"
"Newar",""
"Female","177"
"Male","140"
"Others",""
"Female","26"
"Male","16"
"Thakali",""
"Female","16"
"Male","8"
"Thakuri",""
"Female","40"
"Male","31"
