"Population by Five Years Age Group","Number"
"0-4",""
"Female","1053"
"Male","1005"
"10-14",""
"Female","1416"
"Male","1367"
"15-19",""
"Female","1162"
"Male","981"
"20-24",""
"Female","884"
"Male","529"
"25-29",""
"Female","676"
"Male","391"
"30-34",""
"Female","581"
"Male","323"
"35-39",""
"Female","558"
"Male","358"
"40-44",""
"Female","529"
"Male","399"
"45-49",""
"Female","498"
"Male","370"
"50-54",""
"Female","396"
"Male","371"
"55-59",""
"Female","291"
"Male","304"
"5-9",""
"Female","1282"
"Male","1256"
"60-64",""
"Female","353"
"Male","308"
"65-69",""
"Female","206"
"Male","206"
"70-74",""
"Female","167"
"Male","174"
"75+",""
"Female","111"
"Male","136"
