"Population by Five Years Age Group","Number"
"0-4",""
"Female","1183"
"Male","1180"
"10-14",""
"Female","1478"
"Male","1326"
"15-19",""
"Female","1185"
"Male","990"
"20-24",""
"Female","961"
"Male","603"
"25-29",""
"Female","711"
"Male","514"
"30-34",""
"Female","556"
"Male","413"
"35-39",""
"Female","487"
"Male","369"
"40-44",""
"Female","472"
"Male","388"
"45-49",""
"Female","399"
"Male","349"
"50-54",""
"Female","293"
"Male","314"
"55-59",""
"Female","256"
"Male","252"
"5-9",""
"Female","1451"
"Male","1437"
"60-64",""
"Female","264"
"Male","228"
"65-69",""
"Female","126"
"Male","164"
"70-74",""
"Female","86"
"Male","98"
"75+",""
"Female","75"
"Male","88"
