"Population by Five Years Age Group","Number"
"0-4",""
"Female","1079"
"Male","1092"
"10-14",""
"Female","951"
"Male","970"
"15-19",""
"Female","810"
"Male","755"
"20-24",""
"Female","713"
"Male","636"
"25-29",""
"Female","573"
"Male","586"
"30-34",""
"Female","446"
"Male","390"
"35-39",""
"Female","375"
"Male","413"
"40-44",""
"Female","297"
"Male","312"
"45-49",""
"Female","307"
"Male","297"
"50-54",""
"Female","213"
"Male","252"
"55-59",""
"Female","163"
"Male","193"
"5-9",""
"Female","1076"
"Male","1032"
"60-64",""
"Female","189"
"Male","187"
"65-69",""
"Female","60"
"Male","89"
"70-74",""
"Female","26"
"Male","50"
"75+",""
"Female","37"
"Male","39"
