"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","165"
"Cow Dung","3389"
"Electricity Fuel","3"
"KeroseneFuel","109"
"LP Gas","323"
"Not Sated about Fuel","20"
"OthersFuel","548"
"Wood/FireWood","2583"
"Total","7140"
