"Population by Mother tongue","Number"
"Bangla",""
"Female","79"
"Male","86"
"","165"
"Bantawa",""
"Female","15"
"Male","11"
"","26"
"Bhojpuri",""
"Female","52"
"Male","53"
"","105"
"Chamling",""
"Female","13"
"Male","21"
"","34"
"Ganagai",""
"Female","201"
"Male","222"
"","423"
"Gurung",""
"Female","8"
"Male","5"
"","13"
"Hariyanwi",""
"Female","58"
"Male","64"
"","122"
"Hindi",""
"Female","33"
"Male","39"
"","72"
"Koche",""
"Female","10"
"Male","6"
"","16"
"Limbu",""
"Female","281"
"Male","262"
"","543"
"Magar",""
"Female","52"
"Male","30"
"","82"
"Maithili",""
"Female","3736"
"Male","3727"
"","7463"
"Meche",""
"Female","23"
"Male","25"
"","48"
"Nepali",""
"Female","3813"
"Male","3276"
"","7089"
"Newar",""
"Female","152"
"Male","139"
"","291"
"Not Reported",""
"Female","120"
"Male","123"
"","243"
"Others",""
"Female","64"
"Male","55"
"","119"
"Rai",""
"Female","248"
"Male","199"
"","447"
"Rajbanshi",""
"Female","4264"
"Male","3969"
"","8233"
"Rajsthani",""
"Female","17"
"Male","23"
"","40"
"Santhali",""
"Female","1552"
"Male","1455"
"","3007"
"Sherpa",""
"Female","17"
"Male","12"
"","29"
"Tajpuriya",""
"Female","1693"
"Male","1569"
"","3262"
"Tamang",""
"Female","131"
"Male","108"
"","239"
"Tharu",""
"Female","23"
"Male","22"
"","45"
"Urdu",""
"Female","429"
"Male","427"
"","856"
"Yakkha",""
"Female","12"
"Male","10"
"","22"
