"Number of households by type of outer wall","Number"
"BambooWall","4681"
"Cement Bonded Bricks/Stone Wall","51589"
"Mud Bonded Bricks/Stone Wall","6115"
"Not Stated about Wall","678"
"Other Type Wall","2557"
"Unbaked Bricks","1630"
"Wood/Planks","1785"
"Total","69035"
