"Population by Religion","Number"
"Bahai","6"
"Bon","46"
"Buddism","38757"
"Christianity","5198"
"Hindu","236329"
"Islam","3527"
"Jainism","5"
"Kirat","177"
"Prakriti","642"
"Sikhism","6"
"Undefined","474"
"Total","285167"
