"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","16"
"Cow Dung","1930"
"Electricity Fuel","0"
"KeroseneFuel","29"
"LP Gas","65"
"Not Sated about Fuel","4"
"OthersFuel","52"
"Wood/FireWood","2765"
"Total","4861"
