"Population by Mother tongue","Number"
"Danuwar",""
"Female","44"
"Male","46"
"","90"
"Gurung",""
"Female","97"
"Male","103"
"","200"
"Hyolmo/Yholmo",""
"Female","553"
"Male","511"
"","1064"
"Maithili",""
"Female","13"
"Male","49"
"","62"
"Nepali",""
"Female","3107"
"Male","2871"
"","5978"
"Newar",""
"Female","397"
"Male","400"
"","797"
"Not Reported",""
"Female","23"
"Male","18"
"","41"
"Others",""
"Female","19"
"Male","20"
"","39"
"Sherpa",""
"Female","96"
"Male","102"
"","198"
"Tamang",""
"Female","5906"
"Male","6485"
"","12391"
